col,row,snr
3.200000000000000000e+01,6.900000000000000000e+01,2.154522606877752011e+01
1.060000000000000000e+02,1.550000000000000000e+02,2.020633943035468505e+01
2.520000000000000000e+02,3.500000000000000000e+01,2.206092080997294858e+01
1.400000000000000000e+01,1.550000000000000000e+02,1.640253266349957784e+01
1.520000000000000000e+02,1.870000000000000000e+02,2.263168927421824250e+01
2.320000000000000000e+02,1.470000000000000000e+02,2.028962463567919627e+01
1.610000000000000000e+02,2.900000000000000000e+01,1.772536795392599984e+01
7.600000000000000000e+01,7.200000000000000000e+01,1.948565418777248226e+01
8.700000000000000000e+01,1.960000000000000000e+02,1.737514605582120097e+01
1.970000000000000000e+02,6.000000000000000000e+01,1.981132249985218508e+01
9.200000000000000000e+01,4.000000000000000000e+01,2.321480714505253928e+01
2.070000000000000000e+02,9.800000000000000000e+01,2.388090270439140639e+01
5.400000000000000000e+01,1.010000000000000000e+02,2.126998818961964233e+01
8.500000000000000000e+01,7.800000000000000000e+01,2.335661423184912877e+01
1.510000000000000000e+02,7.200000000000000000e+01,2.313952526990004799e+01
1.130000000000000000e+02,1.430000000000000000e+02,1.940465589580982098e+01
2.460000000000000000e+02,2.700000000000000000e+01,2.150026086126543134e+01
2.080000000000000000e+02,5.500000000000000000e+01,2.131529627510218106e+01
1.310000000000000000e+02,1.520000000000000000e+02,1.606068958584192075e+01
2.010000000000000000e+02,1.180000000000000000e+02,2.137111944165194544e+01
7.000000000000000000e+00,2.330000000000000000e+02,1.999351993277858952e+01
8.500000000000000000e+01,1.780000000000000000e+02,1.629357240076209123e+01
1.140000000000000000e+02,1.570000000000000000e+02,1.960360099540843493e+01
8.500000000000000000e+01,1.500000000000000000e+01,2.326655390006581925e+01
3.400000000000000000e+01,7.300000000000000000e+01,2.322912270180211181e+01
7.100000000000000000e+01,1.840000000000000000e+02,1.952861666471088498e+01
2.080000000000000000e+02,1.330000000000000000e+02,1.823649077711448996e+01
2.370000000000000000e+02,1.710000000000000000e+02,2.262824505057875513e+01
1.150000000000000000e+02,1.760000000000000000e+02,2.142399083895323031e+01
1.920000000000000000e+02,2.800000000000000000e+01,1.674546689585294956e+01
2.250000000000000000e+02,1.360000000000000000e+02,1.752182667668082061e+01
1.830000000000000000e+02,1.690000000000000000e+02,1.589193936969473242e+01
2.520000000000000000e+02,1.370000000000000000e+02,2.017353836222305574e+01
2.090000000000000000e+02,1.130000000000000000e+02,2.429780195643317242e+01
2.890000000000000000e+02,7.400000000000000000e+01,2.026264406940703822e+01
6.600000000000000000e+01,4.500000000000000000e+01,1.913552858912775179e+01
2.070000000000000000e+02,9.200000000000000000e+01,2.401647565412088170e+01
2.440000000000000000e+02,9.200000000000000000e+01,2.116895110535039848e+01
4.500000000000000000e+01,1.200000000000000000e+01,2.405456412101295172e+01
1.470000000000000000e+02,7.600000000000000000e+01,1.906346221872626145e+01
4.100000000000000000e+01,6.400000000000000000e+01,1.932269940702654054e+01
1.410000000000000000e+02,1.860000000000000000e+02,1.890415353426752176e+01
1.020000000000000000e+02,8.000000000000000000e+01,1.859754343165327839e+01
2.400000000000000000e+02,4.700000000000000000e+01,2.300728177529056850e+01
1.400000000000000000e+02,1.400000000000000000e+02,2.316098013256072363e+01
2.600000000000000000e+01,8.700000000000000000e+01,2.155914859742620493e+01
2.720000000000000000e+02,2.270000000000000000e+02,1.867426051259501918e+01
2.610000000000000000e+02,2.380000000000000000e+02,2.169062961142563495e+01
2.490000000000000000e+02,1.820000000000000000e+02,2.179972544955151292e+01
3.900000000000000000e+01,1.490000000000000000e+02,2.099656785229243638e+01
